model,model_id,dataset,N,accuracy,coverage
sapbert,cambridgeltl/SapBERT-from-PubMedBERT-fulltext,CRAFT:ChEBI,4548,0.8241,1.0
sapbert,cambridgeltl/SapBERT-from-PubMedBERT-fulltext,Biosamples:CLO,2121,0.5446,1.0
sapbert,cambridgeltl/SapBERT-from-PubMedBERT-fulltext,Internal:ChEBI,290,0.169,1.0
sapbert,cambridgeltl/SapBERT-from-PubMedBERT-fulltext,Internal:CLO,200,0.605,1.0
krissbert,microsoft/BiomedNLP-KRISSBERT-PubMed-UMLS-EL,CRAFT:ChEBI,4548,0.7526,1.0
krissbert,microsoft/BiomedNLP-KRISSBERT-PubMed-UMLS-EL,Biosamples:CLO,2121,0.4116,1.0
krissbert,microsoft/BiomedNLP-KRISSBERT-PubMed-UMLS-EL,Internal:ChEBI,290,0.131,1.0
krissbert,microsoft/BiomedNLP-KRISSBERT-PubMed-UMLS-EL,Internal:CLO,200,0.485,1.0
biobert,dmis-lab/biobert-base-cased-v1.1,CRAFT:ChEBI,4548,0.7368,1.0
biobert,dmis-lab/biobert-base-cased-v1.1,Biosamples:CLO,2121,0.074,1.0
biobert,dmis-lab/biobert-base-cased-v1.1,Internal:ChEBI,290,0.0586,1.0
biobert,dmis-lab/biobert-base-cased-v1.1,Internal:CLO,200,0.19,1.0
pubmedbert,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract-fulltext,CRAFT:ChEBI,4548,0.7359,1.0
pubmedbert,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract-fulltext,Biosamples:CLO,2121,0.0335,1.0
pubmedbert,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract-fulltext,Internal:ChEBI,290,0.0276,1.0
pubmedbert,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract-fulltext,Internal:CLO,200,0.14,1.0
